rank,total_amount_eth,total_amount_usd,address_short,last_campaign_end,last_found_date,min_unclaimed_days,max_unclaimed_days,avg_unclaimed_days,avg_claim_probability,total_campaigns,unique_tokens,unique_chains,max_score,total_expected_value,urgency,profit_tier,value_density,inactivity_score,time_decay_risk,recommended_action,opportunity_type,tokens_breakdown,chains_breakdown,whale_flag,is_diversified,address_score
1893,0.00559752,12.23,0x7922...31fa,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.879876,3.06,low,micro,1.43,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0056ETH,Base:0.0056ETH,no,no,31.8679
1911,0.00550927,12.030000000000001,0x6470...1d1a,2026-04-16,2026-04-13,0.0,3.0,1.5,57.0,2,1,1,19.305791,2.41,low,micro,1.05,very_low,very_high,monitor_monthly,speculative,RLUSD:0.0055ETH,Ethereum:0.0055ETH,no,no,20.806
1929,0.00539102,11.77,0x7af4...a153,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.869550999999998,2.94,low,micro,1.37,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0054ETH,Base:0.0054ETH,no,no,31.8565
1947,0.00529438,11.56,0x20de...1043,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.864718999999997,2.89,low,micro,1.35,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0053ETH,Base:0.0053ETH,no,no,31.8512
1965,0.00521388,11.39,0xea32...c706,2026-04-30,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.360694,2.85,low,micro,1.33,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0052ETH,Ethereum:0.0052ETH,no,no,26.8968
1983,0.00514228,11.23,0x1f8e...5ac7,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.857114,2.81,low,micro,1.31,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0051ETH,Base:0.0051ETH,no,no,31.8428
2001,0.00509152,11.12,0x0298...c2bf,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.854575999999998,2.78,low,micro,1.3,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0051ETH,Base:0.0051ETH,no,no,31.84
2019,0.00504792,11.03,0x4f63...8e6c,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.852396,2.76,low,micro,1.29,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.005ETH,Base:0.005ETH,no,no,31.8376
2037,0.00500925,10.94,0x0169...71a7,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.8504625,2.73,low,micro,1.28,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.005ETH,Base:0.005ETH,no,no,31.8355
2055,0.00494522,10.8,0xf990...3f64,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.847261,2.7,low,micro,1.26,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0049ETH,Base:0.0049ETH,no,no,31.832
2073,0.00486629,10.63,0xbcea...0346,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.843314499999998,2.66,low,micro,1.24,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0049ETH,Base:0.0049ETH,no,no,31.8276
2091,0.00480818,10.5,0x0667...8431,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.840408999999998,2.62,low,micro,1.22,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0048ETH,Base:0.0048ETH,no,no,31.8244
